
I20241208 00:52:25 2111763 dinov2 train.py:276] Starting training from iteration 182610
I20241208 01:02:11 2111763 dinov2 helpers.py:102] Training  [182920/202900]  eta: 10:27:27  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6345 (12.6119)  dino_local_crops_loss: 9.7596 (9.7410)  dino_global_crops_loss: 1.2116 (1.2083)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1649 (2.1605)  time: 1.876290  data: 1.027776  max mem: 60049
I20241208 01:02:30 2111763 dinov2 helpers.py:102] Training  [182930/202900]  eta: 10:27:19  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6213 (12.6120)  dino_local_crops_loss: 9.7480 (9.7409)  dino_global_crops_loss: 1.2110 (1.2083)  kde_loss: -0.4980 (-0.4978)  ibot_loss: 2.1605 (2.1606)  time: 1.920487  data: 1.087608  max mem: 60049
I20241208 01:02:48 2111763 dinov2 helpers.py:102] Training  [182940/202900]  eta: 10:26:11  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6646 (12.6142)  dino_local_crops_loss: 9.7590 (9.7415)  dino_global_crops_loss: 1.2111 (1.2084)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1838 (2.1621)  time: 1.852500  data: 1.033208  max mem: 60049
I20241208 01:03:07 2111763 dinov2 helpers.py:102] Training  [182950/202900]  eta: 10:26:03  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1961)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6537 (12.6146)  dino_local_crops_loss: 9.7565 (9.7416)  dino_global_crops_loss: 1.2113 (1.2085)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1746 (2.1624)  time: 1.852349  data: 1.019021  max mem: 60051
I20241208 01:03:27 2111763 dinov2 helpers.py:102] Training  [182960/202900]  eta: 10:26:09  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6089 (12.6141)  dino_local_crops_loss: 9.7412 (9.7415)  dino_global_crops_loss: 1.2090 (1.2085)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1577 (2.1620)  time: 1.913887  data: 1.076343  max mem: 60051
I20241208 01:03:45 2111763 dinov2 helpers.py:102] Training  [182970/202900]  eta: 10:25:08  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.6089 (12.6149)  dino_local_crops_loss: 9.7412 (9.7416)  dino_global_crops_loss: 1.2086 (1.2085)  kde_loss: -0.4980 (-0.4979)  ibot_loss: 2.1607 (2.1626)  time: 1.866791  data: 1.031962  max mem: 60051
I20241208 01:04:04 2111763 dinov2 helpers.py:102] Training  [182980/202900]  eta: 10:25:08  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5981 (12.6131)  dino_local_crops_loss: 9.7400 (9.7412)  dino_global_crops_loss: 1.2083 (1.2084)  kde_loss: -0.4978 (-0.4979)  ibot_loss: 2.1607 (2.1613)  time: 1.862522  data: 1.025544  max mem: 60051
I20241208 01:04:23 2111763 dinov2 helpers.py:102] Training  [182990/202900]  eta: 10:25:11  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5073 (12.6098)  dino_local_crops_loss: 9.7211 (9.7404)  dino_global_crops_loss: 1.2054 (1.2083)  kde_loss: -0.4978 (-0.4979)  ibot_loss: 2.0809 (2.1590)  time: 1.920900  data: 1.082116  max mem: 60051
I20241208 01:04:41 2111763 dinov2 helpers.py:102] Training  [183000/202900]  eta: 10:24:15  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5277 (12.6097)  dino_local_crops_loss: 9.7330 (9.7408)  dino_global_crops_loss: 1.2071 (1.2084)  kde_loss: -0.4978 (-0.4979)  ibot_loss: 2.0931 (2.1584)  time: 1.868234  data: 1.040209  max mem: 60051
I20241208 01:05:00 2111763 dinov2 helpers.py:102] Training  [183010/202900]  eta: 10:24:15  lr: 0.0000 (0.0000)  wd: 0.1962 (0.1962)  mom: 0.9999 (0.9999)  last_layer_lr: 0.0000 (0.0000)  current_batch_size: 32.0000 (32.0000)  total_loss: 12.5978 (12.6106)  dino_local_crops_loss: 9.7469 (9.7412)  dino_global_crops_loss: 1.2117 (1.2085)  kde_loss: -0.4978 (-0.4978)  ibot_loss: 2.1420 (2.1588)  time: 1.865775  data: 1.033073  max mem: 60051
